Rnk,Rider,Team,UCI,Pnt,Time
1,YATES Simon,Team Visma | Lease a Bike,1100,400,82:31:01
2,DEL TORO Isaac,UAE Team Emirates - XRG,885,290,3:56
3,CARAPAZ Richard,EF Education - EasyPost,750,240,4:43
4,GEE Derek,Israel - Premier Tech,600,220,5:30
5,CARUSO Damiano,Bahrain - Victorious,495,200,6:17
6,PELLIZZARI Giulio,Red Bull - BORA - hansgrohe,415,190,7:04
7,BERNAL Egan,INEOS Grenadiers,340,180,7:51
8,RUBIO Einer,Movistar Team,285,170,8:38
9,MCNULTY Brandon,UAE Team Emirates - XRG,235,160,9:25
10,STORER Michael,Tudor Pro Cycling Team,180,150,10:12
11,POOLE Max,Team Picnic PostNL,155,140,10:59
12,YATES Adam,UAE Team Emirates - XRG,130,130,11:46
13,MAJKA Rafał,UAE Team Emirates - XRG,110,120,12:33
14,PIGANZOLI Davide,Team Polti VisitMalta,90,110,27:53
15,PRODHOMME Nicolas,Decathlon AG2R La Mondiale Team,80,100,36:09
16,PIDCOCK Thomas,Q36.5 Pro Cycling Team,75,90,44:41
17,TIBERI Antonio,Bahrain - Victorious,70,85,46:04
18,MEINTJES Louis,Intermarché - Wanty,60,80,52:03
19,KNOX James,Soudal Quick-Step,55,75,56:35
20,STORK Florian,Tudor Pro Cycling Team,50,70,58:53
21,ULISSI Diego,XDS Astana Team,50,65,1:05:07
22,SVESTAD-BÅRDSENG Embret,Arkéa - B&B Hotels,50,60,1:06:40
23,HARPER Chris,Team Jayco AlUla,50,55,1:13:35
24,FORTUNATO Lorenzo,XDS Astana Team,50,50,1:22:09
25,QUINTANA Nairo,Movistar Team,50,45,1:23:09
26,BARDET Romain,Team Picnic PostNL,30,40,1:24:04
27,ZAMBANINI Edoardo,Bahrain - Victorious,30,35,1:25:59
28,FRIGO Marco,Israel - Premier Tech,30,30,1:32:20
29,ARENSMAN Thymen,INEOS Grenadiers,30,25,1:37:46
30,BILBAO Pello,Bahrain - Victorious,30,20,1:52:02
31,GAROFOLI Gianmarco,Soudal Quick-Step,25,20,1:53:53
32,VOISARD Yannis,Tudor Pro Cycling Team,25,20,1:56:21
33,GENIETS Kevin,Groupama - FDJ,25,20,1:56:33
34,CEPEDA Jefferson Alveiro,Movistar Team,25,20,1:57:52
35,VENDRAME Andrea,Decathlon AG2R La Mondiale Team,25,20,1:59:53
36,ARRIETA Igor,UAE Team Emirates - XRG,25,20,2:00:15
37,KELDERMAN Wilco,Team Visma | Lease a Bike,25,20,2:01:00
38,KRUIJSWIJK Steven,Team Visma | Lease a Bike,25,20,2:05:13
39,ROCHAS Rémy,Groupama - FDJ,25,20,2:11:04
40,SCARONI Christian,XDS Astana Team,25,20,2:11:13
41,MASNADA Fausto,XDS Astana Team,20,20,2:12:40
42,LEMMEN Bart,Team Visma | Lease a Bike,20,20,2:20:47
43,LEEMREIZE Gijs,Team Picnic PostNL,20,20,2:21:52
44,CATTANEO Mattia,Soudal Quick-Step,20,20,2:23:20
45,FORMOLO Davide,Movistar Team,20,20,2:23:27
46,HOWSON Damien,Q36.5 Pro Cycling Team,20,20,2:23:30
47,HAMILTON Chris,Team Picnic PostNL,20,20,2:23:31
48,TONELLI Alessandro,Team Polti VisitMalta,20,20,2:23:48
49,TJØTTA Martin,Arkéa - B&B Hotels,20,20,2:26:05
50,POELS Wout,XDS Astana Team,20,20,2:26:25
51,CEPEDA Jefferson Alexander,EF Education - EasyPost,15,20,2:27:01
52,SAMITIER Sergio,Cofidis,15,20,2:28:09
53,MARTÍNEZ Daniel Felipe,Red Bull - BORA - hansgrohe,15,20,2:29:40
54,VERONA Carlos,Lidl - Trek,15,20,2:31:09
55,DONOVAN Mark,Q36.5 Pro Cycling Team,15,20,2:37:39
56,CONCI Nicola,XDS Astana Team,10,20,2:40:14
57,VACEK Mathias,Lidl - Trek,10,20,2:42:59
58,ZANA Filippo,Team Jayco AlUla,10,20,2:43:24
59,ALEOTTI Giovanni,Red Bull - BORA - hansgrohe,10,20,2:44:16
60,PETILLI Simone,Intermarché - Wanty,10,20,2:46:21
61,CASTROVIEJO Jonathan,INEOS Grenadiers,,20,2:47:31
62,HOULE Hugo,Israel - Premier Tech,,20,2:53:29
63,GERMANI Lorenzo,Groupama - FDJ,,20,2:54:25
64,PACHER Quentin,Groupama - FDJ,,20,2:59:12
65,LASTRA Jonathan,Cofidis,,20,3:04:36
66,GAUDU David,Groupama - FDJ,,20,3:06:33
67,OLDANI Stefano,Cofidis,,20,3:07:43
68,WARBASSE Larry,Tudor Pro Cycling Team,,20,3:10:00
69,BAIS Mattia,Team Polti VisitMalta,,20,3:11:07
70,COVILI Luca,VF Group - Bardiani CSF - Faizanè,,20,3:11:24
71,MONIQUET Sylvain,Cofidis,,20,3:15:48
72,VAN AERT Wout,Team Visma | Lease a Bike,,20,3:16:27
73,KONRAD Patrick,Lidl - Trek,,20,3:17:41
74,STEINHAUSER Georg,EF Education - EasyPost,,20,3:22:54
75,MARCELLUSI Martin,VF Group - Bardiani CSF - Faizanè,,20,3:23:11
76,SHAW James,EF Education - EasyPost,,20,3:26:18
77,DE PRETTO Davide,Team Jayco AlUla,,20,3:28:54
78,BARONCINI Filippo,UAE Team Emirates - XRG,,20,3:30:26
79,HONORÉ Mikkel Frølich,EF Education - EasyPost,,20,3:34:22
80,VADER Milan,Q36.5 Pro Cycling Team,,20,3:34:38
81,FUGLSANG Jakob,Israel - Premier Tech,,20,3:36:09
82,ENGELHARDT Felix,Team Jayco AlUla,,20,3:37:17
83,TRATNIK Jan,Red Bull - BORA - hansgrohe,,20,3:39:12
84,GODON Dorian,Decathlon AG2R La Mondiale Team,,20,3:40:14
85,HERMANS Quinten,Alpecin - Deceuninck,,20,3:43:42
86,KIELICH Timo,Alpecin - Deceuninck,,20,3:49:45
87,RAFFERTY Darren,EF Education - EasyPost,,20,3:51:51
88,MILESI Lorenzo,Movistar Team,,20,3:54:04
89,FIORELLI Filippo,VF Group - Bardiani CSF - Faizanè,,20,4:00:39
90,PEDERSEN Mads,Lidl - Trek,,20,4:00:39
91,TAROZZI Manuele,VF Group - Bardiani CSF - Faizanè,,20,4:01:33
92,BARRENETXEA Jon,Movistar Team,,20,4:02:34
93,MAESTRI Mirco,Team Polti VisitMalta,,20,4:02:46
94,GUGLIELMI Simon,Arkéa - B&B Hotels,,20,4:03:10
95,VAN BAARLE Dylan,Team Visma | Lease a Bike,,20,4:07:14
96,STRONG Corbin,Israel - Premier Tech,,20,4:07:26
97,BAIS Davide,Team Polti VisitMalta,,20,4:16:09
98,DOUBLE Paul,Team Jayco AlUla,,20,4:16:30
99,BUSATTO Francesco,Intermarché - Wanty,,20,4:17:40
100,VAN DEN BOSSCHE Fabio,Alpecin - Deceuninck,,20,4:18:23
101,AULAR Orluis,Movistar Team,,20,4:22:20
102,PLANCKAERT Edward,Alpecin - Deceuninck,,20,4:22:44
103,HAMILTON Lucas,INEOS Grenadiers,,20,4:24:28
104,VERRE Alessandro,Arkéa - B&B Hotels,,20,4:26:38
105,PLUIMERS Rick,Tudor Pro Cycling Team,,20,4:30:38
106,SCHULTZ Nick,Israel - Premier Tech,,20,4:31:19
107,GROVES Kaden,Alpecin - Deceuninck,,20,4:31:34
108,COLLEONI Kevin,Intermarché - Wanty,,20,4:33:00
109,HUYS Laurens,Arkéa - B&B Hotels,,20,4:36:42
110,DOULL Owain,EF Education - EasyPost,,20,4:37:02
111,DEWULF Stan,Decathlon AG2R La Mondiale Team,,20,4:40:33
112,PALENI Enzo,Groupama - FDJ,,20,4:42:51
113,MIHOLJEVIĆ Fran,Bahrain - Victorious,,20,4:46:16
114,HEIDUK Kim,INEOS Grenadiers,,20,4:46:33
115,ASGREEN Kasper,EF Education - EasyPost,,20,4:47:04
116,MAGLI Filippo,VF Group - Bardiani CSF - Faizanè,,20,4:48:45
117,CLARKE Simon,Israel - Premier Tech,,20,4:48:51
118,JANSSENS Jimmy,Alpecin - Deceuninck,,20,4:55:09
119,HOOLE Daan,Lidl - Trek,,20,4:57:19
120,TURNER Ben,INEOS Grenadiers,,20,5:03:49
121,MOSCON Gianni,Red Bull - BORA - hansgrohe,,20,5:05:00
122,DENZ Nico,Red Bull - BORA - hansgrohe,,20,5:05:18
123,KANTER Max,XDS Astana Team,,20,5:05:26
124,PEREZ Anthony,Cofidis,,20,5:08:15
125,AZPARREN Xabier Mikel,Q36.5 Pro Cycling Team,,20,5:09:49
126,MOSCA Jacopo,Lidl - Trek,,20,5:09:58
127,TORRES Albert,Movistar Team,,20,5:11:13
128,DE BONDT Dries,Decathlon AG2R La Mondiale Team,,20,5:13:22
129,LONARDI Giovanni,Team Polti VisitMalta,,20,5:20:03
130,BYSTRØM Sven Erik,Groupama - FDJ,,20,5:23:13
131,LIEPIŅŠ Emīls,Q36.5 Pro Cycling Team,,20,5:23:42
132,ČERNÝ Josef,Soudal Quick-Step,,20,5:29:33
133,AFFINI Edoardo,Team Visma | Lease a Bike,,20,5:29:52
134,GUDMESTAD Tord,Decathlon AG2R La Mondiale Team,,20,5:30:25
135,EPIS Giosuè,Arkéa - B&B Hotels,,20,5:31:00
136,HAYTER Ethan,Soudal Quick-Step,,20,5:31:39
137,DAVY Clément,Groupama - FDJ,,20,5:32:29
138,MOZZATO Luca,Arkéa - B&B Hotels,,20,5:33:26
139,MAAS Jan,Cofidis,,20,5:34:04
140,DEBEAUMARCHÉ Nicolas,Cofidis,,20,5:34:38
141,PIETROBON Andrea,Team Polti VisitMalta,,20,5:36:27
142,GOVEKAR Matevž,Bahrain - Victorious,,20,5:38:24
143,HEPBURN Michael,Team Jayco AlUla,,20,5:38:36
144,MUÑOZ Francisco,Team Polti VisitMalta,,20,5:41:19
145,BENNETT Sam,Decathlon AG2R La Mondiale Team,,20,5:41:25
146,LAMPERTI Luke,Soudal Quick-Step,,20,5:41:38
147,KUZMIN Anton,XDS Astana Team,,20,5:42:03
148,EDMONDSON Alex,Team Picnic PostNL,,20,5:42:42
149,KOOIJ Olav,Team Visma | Lease a Bike,,20,5:45:37
150,VAN UDEN Casper,Team Picnic PostNL,,20,5:48:34
151,ZANONCELLO Enrico,VF Group - Bardiani CSF - Faizanè,,20,5:51:33
152,MOSCHETTI Matteo,Q36.5 Pro Cycling Team,,20,5:55:35
153,VAN HOECKE Gijs,Intermarché - Wanty,,20,5:55:56
154,ZIJLAARD Maikel,Tudor Pro Cycling Team,,20,5:56:04
155,VAN DER HOORN Taco,Intermarché - Wanty,,20,5:57:04
156,MÄRKL Niklas,Team Picnic PostNL,,20,5:59:46
157,THIJSSEN Gerben,Intermarché - Wanty,,20,6:04:31
158,PLOWRIGHT Jensen,Alpecin - Deceuninck,,20,6:07:50
159,KRIEGER Alexander,Tudor Pro Cycling Team,,20,6:25:03